citing_paper_title,citing_paper_authors,citing_paper_citations,num_cited_papers,cited_paper_titles
"The tools perspective on software reverse engineering: requirements, construction, and evaluation","HM Kienle, HA Mller - Advances in Computers, 2010 - Elsevier",Cited by 11,6,"Building a research infrastructure for program comprehension observations | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues | Presenting micro-theories of program comprehension in pattern form | Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Framework for Measuring Program Comprehension,"G Saake, A van Deursen, D Batory - wwwiti.cs.uni-magdeburg.de","",5,"Jasvir Nagra, Paolo Falcarin, Filippo Ricca, Marco Torchiano, and Paolo Tonella. The Effectivenes... | Building a research infrastructure for program comprehension observations | Supporting comprehension experiments with human subjects. | Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Impact of limited memory resources"
Research perspective on supporting software engineering via physical 3D models,"F Fittkau, E Koppenhagen -   (VISSOFT), 2015 IEEE  , 2015 - ieeexplore.ieee.org",Cited by 4,3,Towards standard for experiments in program comprehension | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
CHRISTIAN-ALBRECHTS-UNIVERSITAT ZU KIEL,"F Fittkau, E Koppenhagen, W Hasselbring - 2013 - oceanrep.geomar.de","",3,Towards standard for experiments in program comprehension | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
Live trace visualization for system and program comprehension in large software landscapes,F Fittkau - 2015 - books.google.com,"",3,Towards standard for experiments in program comprehension | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
On generating cognitive patterns of software comprehension,"A Murray, TC Lethbridge - Proceedings of the 2005 conference of the  , 2005 - dl.acm.org",Cited by 8,3,"Presenting micro-theories of program comprehension in pattern form | Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Hierarchical software landscape visualization for system comprehension: a controlled experiment,"F Fittkau, A Krause -   (VISSOFT), 2015 IEEE 3rd  , 2015 - ieeexplore.ieee.org",Cited by 2,3,Towards standard for experiments in program comprehension | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
Comparing trace visualizations for program comprehension through controlled experiments,"F Fittkau, S Finke, W Hasselbring, J Waller - Proceedings of the 2015  , 2015 - dl.acm.org",Cited by 6,3,Towards standard for experiments in program comprehension | Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
Encyclopedia of Software Engineering,K Kontogiannis - Taylor & Francis,"",3,"An empirical study of the effect of semantic differences on programmer comprehension | Theories, methods and tools in program comprehension: Past, present and future | Theories, methods and tools in program comprehension: Past, present and future"
Designing your next empirical study on program comprehension,"MD Penta, REK Stirewalt -  , 2007. ICPC'07. 15th IEEE , 2007 - ieeexplore.ieee.org",Cited by 38,3,"Towards standard for experiments in program comprehension | Experimental settings in program comprehension: Challenges and open issues | Theories, methods and tools in program comprehension: Past, present and future"
Evaluating Obfuscation Security: A Quantitative Approach,"R Mohsen, AM Pinto - researchgate.net","",2,"Jasvir Nagra, Paolo Falcarin, Filippo Ricca, Marco Torchiano, and Paolo Tonella. The Effectivenes... | On the effect of code regularity on comprehension"
A comparative study of three program exploration tools,"B De Alwis, GC Murphy -  , 2007. ICPC'07. 15th IEEE , 2007 - ieeexplore.ieee.org",Cited by 34,2,Towards standard for experiments in program comprehension | An empirical study of the effect of semantic differences on programmer comprehension
Amorphous program slicing,"M Harman, D Binkley, S Danicic - Journal Of systems and software, 2003 - Elsevier",Cited by 93,2,Side-effect removal transformation | Program simplification as a means of approximating undecidable propositions
Program slice distribution functions,"R Gore, PF Reynolds Jr - Winter Simulation Conference, 2009 - dl.acm.org","",2,"An empirical study of the effect of semantic differences on programmer comprehension | Theories, methods and tools in program comprehension: Past, present and future"
SWEEP: An Automatic Programming System Based on Genetic Programming and Cultural Algorithms,"GS Cowan, RG Reynolds - World Scientific","",2,Building a research infrastructure for program comprehension observations | Towards standard for experiments in program comprehension
The impacts of function extraction technology on program comprehension: A controlled experiment,"RW Collins, AR Hevner, GH Walton - Information and Software  , 2008 - Elsevier",Cited by 12,2,"Towards standard for experiments in program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
ON THE INFLUENCE OF REPRESENTATION TYPE AND GENDER ON RECOGNITION TASKS OF PROGRAM COMPREHENSION,ZST MOGHADDAM - 2015 - ptidej.net,"",2,"Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Towards automatically generating summary comments for java methods,"G Sridhara, E Hill, D Muppaneni, L Pollock - Proceedings of the  , 2010 - dl.acm.org",Cited by 115,2,"Impact of limited memory resources | Theories, methods and tools in program comprehension: Past, present and future"
" Towards collaboration in evidence-supported, question-directed program comprehension","B Chu - Masters Abstracts International, 2007","",2,"Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Supporting conceptual queries over integrated sources of program information,"B De Alwis, B Math - 2008 - cs.ubc.ca",Cited by 6,2,Towards standard for experiments in program comprehension | Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Refactoring as testability transformation,"M Harman -   and Validation Workshops (ICSTW), 2011 IEEE  , 2011 - ieeexplore.ieee.org",Cited by 13,2,Side-effect removal transformation | Program simplification as a means of approximating undecidable propositions
Experimental settings in program comprehension: Challenges and open issues,"GA Di Lucca, M Di Penta - Program Comprehension, 2006.  , 2006 - ieeexplore.ieee.org",Cited by 10,2,Building a research infrastructure for program comprehension observations | Towards standard for experiments in program comprehension
Influence of domain-specific notation to program understanding,"T Kosar, M Mernik, M repinek -  , 2009. IMCSIT'09.  , 2009 - ieeexplore.ieee.org",Cited by 7,2,"Theories, methods and tools in program comprehension: Past, present and future | Theories, methods and tools in program comprehension: Past, present and future"
How to interconnect operational and behavioral views of web applications,"R Fonseca, D Da Cruz, PR Henriques -  , 2008. ICPC 2008.  , 2008 - ieeexplore.ieee.org",Cited by 2,2,"Theories, methods and tools in program comprehension: Past, present and future | Theories, methods and tools in program comprehension: Past, present and future"
From Program Comprehension to Framework Understanding: a roadmap,N Flores - 2006 - Citeseer,Cited by 1,2,"Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
"Towards evidence-supported, question-directed collaborative program comprehension","B Chu, K Wong - Proceedings of the 2006 conference of the Center for  , 2006 - dl.acm.org",Cited by 1,2,"Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Understanding frameworks collaboratively: Tool requirements,"N Flores, A Aguiar - International Journal on Advances in Software Volume , 2010 - Citeseer",Cited by 3,2,"Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering | Theories, methods and tools in program comprehension: Past, present and future"
Using cognitive easiness metric for program comprehension,"M Yin, B Li, C Tao -   and Data Mining (SEDM), 2010 2nd  , 2010 - ieeexplore.ieee.org",Cited by 1,2,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics | Impact of limited memory resources
A brief survey of program slicing,"B Xu, J Qian, X Zhang, Z Wu, L Chen - ACM SIGSOFT Software  , 2005 - dl.acm.org",Cited by 236,2,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics | An empirical study of the effect of semantic differences on programmer comprehension
ypermodelling,"G Saake, K Turowski, C Atkinson - wwwiti.cs.uni-magdeburg.de","",2,"Theories, methods and tools in program comprehension: Past, present and future | Theories, methods and tools in program comprehension: Past, present and future"
Quantification of code regularity using preprocessing and compression,"A Jbara, DG Feitelson - manuscript, Jan, 2014 - cs.huji.ac.il",Cited by 4,2,Program complexity metrics and programmer opinions | On the effect of code regularity on comprehension
A controlled experiment for program comprehension through trace visualization,"B Cornelissen, A Zaidman -  , IEEE Transactions on, 2011 - ieeexplore.ieee.org",Cited by 60,2,"Designing your next empirical study on program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
Do Dynamic Object Process Graphs Support Program Understanding?-A Controlled Experiment.,"J Quante - Program Comprehension, 2008. ICPC 2008. The  , 2008 - ieeexplore.ieee.org",Cited by 38,2,"Designing your next empirical study on program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
Trace visualization for program comprehension: A controlled experiment,"B Cornelissen, A Zaidman -  , 2009. ICPC'09.  , 2009 - ieeexplore.ieee.org",Cited by 34,2,"Designing your next empirical study on program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
On the effect of code regularity on comprehension,"A Jbara, DG Feitelson -   of the 22nd International Conference on  , 2014 - dl.acm.org",Cited by 7,2,Program complexity metrics and programmer opinions | Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Design and evaluation of software obfuscations,A Majumdar - 2008 - cs.auckland.ac.nz,Cited by 1,2,Understanding obfuscated code | Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
A Survey of Concepts Location Enhancement for Program Comprehension and Maintenance,"N Alhindawi, J Alsakran, A Rodan - Journal of Software  , 2014 - search.proquest.com","",2,"Designing your next empirical study on program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
Supporting Source Code Comprehension During Software Evolution and Maintenance,NT Alhindawi - 2013 - rave.ohiolink.edu,"",2,"Designing your next empirical study on program comprehension | Theories, methods and tools in program comprehension: Past, present and future"
Haben wir Programmverstehen schon ganz verstanden?,"R Koschke, R Tiarks - Design for Future Langlebige Softwaresysteme, 2009 - Citeseer",Cited by 1,2,Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
Designing empirical studies: assessing the effectiveness of agile methods,"A Sillitti - ACM SIGSOFT Software Engineering Notes, 2009 - dl.acm.org",Cited by 1,2,Designing your next empirical study on program comprehension | Experimental settings in program comprehension: Challenges and open issues
Information foraging in debugging,JA Lawrance - 2009 - ir.library.oregonstate.edu,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Reverse engineering and testing of rich internet applications,D Amalfitano - 2011 - fedoa.unina.it,Cited by 4,1,Designing your next empirical study on program comprehension
Dynamic program analysisReconciling developer productivity and tool performance,"A Sarimbekov, Y Zheng, D Ansaloni, L Bulej - Science of Computer  , 2014 - Elsevier",Cited by 2,1,Designing your next empirical study on program comprehension
Productive development of dynamic program analysis tools with DiSL,"A Sarimbekov, Y Zheng, D Ansaloni -  ASWEC), 2013 22nd , 2013 - ieeexplore.ieee.org",Cited by 2,1,Designing your next empirical study on program comprehension
A structured approach for conducting a series of controlled experiments in software visualization,"R Muller, P Kovacs, J Schilbach - Information  , 2014 - ieeexplore.ieee.org",Cited by 3,1,Designing your next empirical study on program comprehension
Workload characterization of JVM languages,"A Sarimbekov, L Stadler, L Bulej - Software: Practice  , 2015 - Wiley Online Library",Cited by 1,1,Designing your next empirical study on program comprehension
Improving program comprehension tools for domain specific languages,NES Oliveira - 2009 - repositorium.sdum.uminho.pt,Cited by 3,1,Designing your next empirical study on program comprehension
Why and How to Substantiate the Good of our Reverse Engineering Tools?,D Rthlisberger - 2009 - researchgate.net,Cited by 1,1,Designing your next empirical study on program comprehension
Overcoming comprehension barriers in the AspectJ programming language.,"V Arnaoudova, LM Eshkevari - Journal of Object  , 2008 - Citeseer",Cited by 1,1,Designing your next empirical study on program comprehension
Patterns and Tools for Improving Framework Understanding: a Collaborative Approach,NHR Flores - 2012 - repositorio-aberto.up.pt,Cited by 2,1,Designing your next empirical study on program comprehension
Model-based analysis of adoption factors for software visualization tools in corrective maintenance,"M Sensalire, P Ogao, A Telea - 2010 - cs.rug.nl",Cited by 3,1,Designing your next empirical study on program comprehension
