question,fault,label,arg,c_faults,c_checks,nc_faults,nc_checks
a,param,b,2,3,3,1,7
e,param,c,4,0,0,1,2
e,param,b,1,0,0,2,3
g,param,b,1,1,2,1,14
a,param,a,2,2,3,3,7
e,label,b,d,1,3,0,3
e,label,b,c,1,3,0,3
e,label,c,g,1,3,0,5
e,label,c,d,1,3,2,5
e,label,c,4,1,3,0,5
c,param,a,4,3,6,3,19
a,param,b,1,0,3,1,7
c,param,a,2,3,6,2,19
e,label,c,V,0,3,1,5
c,halt,c,_,0,4,1,8
c,halt,c,d,0,4,1,8
g,param,a,1,0,4,1,13
g,label,b,I,2,6,0,20
g,label,b,a,2,6,6,20
c,param,a,1,2,6,0,23
c,param,a,3,2,6,3,19
c,halt,c,0,0,4,1,8
g,halt,d,_,1,6,2,10
e,halt,d,_,1,6,0,5
g,halt,d,I,1,6,0,10
g,halt,d,1,0,6,1,10
a,label,a,c,3,9,0,8
e,param,a,2,1,8,0,6
a,label,a,I,1,9,0,8
a,label,a,G,1,9,0,8
a,label,a,X,1,9,0,8
a,label,a,g,0,9,1,8
e,label,a,c,2,13,0,9
c,label,a,e,4,15,2,43
e,param,a,3,5,16,1,12
e,label,a,b,1,13,2,9
e,label,a,V,1,13,0,9
e,label,a,I,1,13,0,9
e,label,a,&,0,13,1,9
c,label,a,a,1,15,0,43
c,label,a,b,1,15,1,43
c,label,a,d,0,15,1,43
