subject,qtype,qpos,mins,correct,points
1118,a,2,10,6,9
1118,d,3,10,10,12
1118,f,0,8,17,18
1118,g,1,15,5,10
1155,b,0,0,13,17
1155,d,2,5,12,13
1155,e,1,4,5,7
1155,g,3,3,3,4
1236,a,2,4,5,9
1236,c,0,13,6,11
1236,f,1,16,10,13
1236,h,3,14,12,14
1243,a,2,3,0,1
1243,c,0,15,7,11
1243,f,3,3,5,7
1243,h,1,14,3,13
2024,a,0,3,6,9
2024,c,1,10,7,11
2024,f,2,3,5,7
2024,h,3,14,13,14
2250,b,0,2,0,1
2250,c,2,19,7,11
2250,f,1,13,34,34
2250,g,3,17,10,12
2360,b,2,10,16,17
2360,c,0,28,8,13
2360,f,3,9,8,11
2360,g,1,10,4,7
2413,c,3,17,7,11
2413,e,2,10,6,11
2413,h,1,30,12,14
2982,b,0,9,15,17
2982,c,2,6,9,12
2982,f,3,1,5,7
2982,g,1,13,4,7
3339,a,0,7,7,9
3339,d,2,3,12,13
3339,e,3,3,0,1
3339,h,1,20,21,25
3483,b,3,7,2,6
3483,c,1,7,5,6
3483,f,0,3,5,7
3483,g,2,24,2,4
3487,a,0,14,6,9
3487,d,1,28,13,17
3487,e,3,4,5,8
3487,h,2,11,9,11
3878,a,3,45,17,17
3878,c,0,30,28,31
3878,f,1,25,26,27
3878,h,2,36,14,14
3889,a,1,6,5,9
3889,d,2,13,15,17
3889,e,3,7,3,8
3889,h,0,12,6,8
4073,a,2,7,0,2
4073,d,3,9,22,23
4073,f,1,12,4,10
4073,g,0,15,8,10
4246,a,2,9,17,17
4246,d,1,8,18,19
4246,f,3,0,34,34
4246,g,0,31,11,12
4500,b,1,18,17,17
4500,c,2,17,5,7
4500,e,0,28,5,6
4500,h,3,23,13,14
4950,a,1,4,0,1
4950,c,2,11,3,6
4950,f,3,24,33,34
4950,h,0,20,10,13
5125,b,3,4,16,17
5125,d,1,19,13,18
5125,e,0,11,5,7
5125,g,2,12,8,10
5234,b,3,10,5,9
5234,c,2,10,4,6
5234,f,0,15,14,20
5234,g,1,15,4,7
5263,b,2,9,13,17
5263,d,1,7,21,23
5263,e,3,9,11,17
5263,g,0,15,4,7
5278,b,1,9,6,9
5278,c,0,22,11,18
5278,f,2,13,16,22
5278,g,3,6,4,8
5545,b,3,2,0,1
5545,c,1,12,4,6
5545,f,0,16,5,7
5545,g,2,15,6,7
5802,b,2,11,17,17
5802,c,1,16,14,18
5802,f,0,11,14,19
5802,g,3,21,9,10
5998,a,1,3,0,1
5998,d,0,14,14,17
5998,e,2,7,4,7
5998,h,3,15,8,13
6371,a,2,10,6,9
6371,d,0,11,22,23
6371,e,3,21,20,24
6371,h,1,10,13,14
6708,b,3,5,15,17
6708,c,0,5,8,11
6708,e,2,13,5,8
6708,h,1,10,27,30
6862,b,1,7,5,9
6862,d,0,0,0,1
6862,e,3,6,8,12
6862,g,2,4,3,4
7320,a,1,6,0,1
7320,d,0,15,30,30
7320,e,2,8,5,7
7320,h,3,11,13,14
7400,b,1,4,7,9
7400,d,3,6,27,29
7400,e,0,3,4,6
7400,g,2,3,1,4
7475,b,3,9,17,17
7475,d,1,24,22,23
7475,e,0,11,5,7
7475,g,2,8,3,4
7642,a,3,10,15,17
7642,d,1,15,13,19
7642,e,0,12,5,7
7642,h,2,18,15,17
8223,b,0,6,0,1
8223,c,2,11,5,6
8223,e,3,6,5,7
8223,h,1,15,10,13
8273,a,1,5,0,1
8273,d,2,6,21,23
8273,f,0,8,42,51
8273,g,3,18,3,13
8317,a,0,14,0,1
8317,d,2,17,19,21
8317,f,3,16,4,14
8317,g,1,23,6,7
8755,a,2,2,0,1
8755,d,1,12,6,13
8755,e,3,5,9,11
8755,h,0,24,9,11
8782,a,3,8,0,1
8782,d,0,18,19,21
8782,f,1,8,5,8
8782,g,2,15,3,4
9072,b,1,12,14,17
9072,c,3,8,11,13
9072,f,0,18,34,34
9072,g,2,5,3,4
9336,a,2,5,0,1
9336,d,3,9,25,28
9336,f,0,20,33,34
9336,g,1,19,6,10
9432,a,3,5,8,9
9432,d,2,15,30,34
9432,e,0,10,8,13
9432,h,1,15,21,25
9492,b,0,9,4,9
9492,c,1,8,7,11
9492,e,3,2,5,6
9492,h,2,8,10,12
9582,b,1,3,0,1
9582,c,3,3,5,6
9582,e,2,4,4,7
9582,h,0,11,9,17
9733,b,0,12,17,17
9733,c,2,17,7,11
9733,e,1,6,5,7
9733,h,3,23,14,14
9998,a,2,6,0,1
9998,c,3,9,4,7
9998,f,1,12,5,7
9998,h,0,20,4,7
