subject,qtype,correct,points
1118,a,7,9
1118,d,10,12
1118,f,4,10
1118,g,5,10
1155,b,5,10
1155,d,12,13
1155,e,5,7
1155,g,3,4
1236,a,5,9
1236,c,6,11
1236,f,10,13
1236,h,12,16
2024,a,6,9
2024,c,7,11
2024,f,5,7
2024,h,13,14
2360,b,16,17
2360,c,8,13
2360,f,8,13
2360,g,4,7
2413,c,7,11
2413,e,6,13
2413,h,12,16
2982,b,3,7
2982,c,2,6
2982,f,2,7
2982,g,2,4
3339,a,7,9
3339,c,0,1
3339,d,12,13
3339,h,21,25
3483,b,3,6
3483,c,5,6
3483,f,0,1
3483,g,2,4
3889,a,5,9
3889,d,15,17
3889,e,6,14
3889,h,6,8
4073,a,0,2
4073,d,22,23
4073,f,4,7
4073,g,8,10
4246,a,17,17
4246,d,18,19
4246,f,34,34
4246,g,11,12
4500,b,17,17
4500,c,5,7
4500,e,5,6
4500,h,13,14
5125,b,16,17
5125,d,13,18
5125,e,5,7
5125,g,8,10
5278,b,6,9
5278,c,11,18
5278,f,16,22
5278,g,4,9
5545,b,0,1
5545,c,4,6
5545,f,5,7
5545,g,6,7
5802,b,17,17
5802,c,14,18
5802,f,14,19
5802,g,9,11
5998,a,0,2
5998,d,2,6
5998,e,2,7
5998,h,8,13
6371,a,6,9
6371,d,22,23
6371,e,20,25
6371,h,13,14
6708,b,15,17
6708,c,8,11
6708,e,4,7
6708,h,27,34
6862,b,5,9
6862,d,0,1
6862,e,8,12
6862,g,3,4
7320,a,0,1
7320,d,29,30
7320,e,5,7
7320,h,13,14
7642,a,15,17
7642,d,13,19
7642,e,5,7
7642,h,15,19
8273,a,0,2
8273,d,21,23
8273,f,42,51
8273,g,3,13
8317,a,0,1
8317,d,19,21
8317,f,13,26
8317,g,6,7
8782,a,0,2
8782,d,19,21
8782,f,4,7
8782,g,5,9
9072,b,14,17
9072,c,11,13
9072,f,34,34
9072,g,3,4
9336,a,0,1
9336,d,25,28
9336,f,33,34
9336,g,6,10
9492,b,4,9
9492,c,7,11
9492,e,5,6
9492,h,10,12
9582,b,0,2
9582,c,5,6
9582,e,4,6
9582,h,9,17
9998,a,0,2
9998,c,4,7
9998,f,5,7
9998,h,4,7
