question,fault,label,arg,c_faults,c_checks,nc_faults,nc_checks
e,param,b,1,0,0,2,3
e,param,c,4,0,0,1,2
a,param,b,2,3,3,0,9
e,label,c,d,1,2,1,4
e,label,c,4,1,2,0,4
g,param,b,1,2,3,1,14
g,param,b,2,1,2,0,9
a,param,a,2,2,3,5,9
e,label,c,b,0,2,1,4
e,label,b,d,1,3,0,3
e,label,b,c,1,3,0,3
a,param,b,1,0,3,1,9
c,param,a,4,3,7,3,18
c,param,a,1,3,7,3,22
c,param,a,2,3,7,5,18
g,param,a,1,0,5,1,13
a,label,a,c,3,8,0,11
c,param,a,3,2,7,5,18
c,halt,c,0,0,5,1,7
e,halt,d,_,1,6,1,7
g,halt,d,!,1,7,0,10
g,label,b,a,2,8,6,20
g,label,b,!,2,8,0,20
g,halt,d,_,1,7,2,10
a,label,a,X,1,8,1,11
g,label,b,X,1,8,0,20
a,label,a,!,1,8,1,11
e,param,a,2,1,8,0,5
g,halt,d,1,0,7,1,10
e,param,a,3,5,16,1,10
e,label,a,c,2,13,0,9
e,label,a,v,1,13,0,9
e,label,a,b,1,13,1,9
e,label,a,!,1,13,0,9
e,label,a,?,0,13,1,9
e,label,a,1,0,13,1,9
e,label,a,X,0,13,1,9
c,label,a,e,5,19,2,47
c,label,a,b,2,19,1,47
c,label,a,a,1,19,0,47
c,label,a,3,0,19,1,47
c,label,a,d,0,19,3,47
