Subject,Date,Order,start1,end1,start2,end2,start3,end3,start4,end4,A,B,C,D,E,F,G,H,q1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1161,2016-06-10,fbgc,13:36,13:39,13:40,13:48,13:48,14:02,14:03,14:07,,X,"a: 1 2 0 0 
b: 2
error",,,X,"a: 1 0
b:
X",,,,,,,,,,,,,
1224,2016-06-13,gedb,14:01,14:03,14:04,14:07,14:09,14:30,14:32,14:42,,"a: 0 zy 1
b: 1 zy 1
a: 0 zz 1
b: 0 zz 1
c",,"a: 2 2 0 0
c: 2 4 2 0
d: 2
c: 22 20 2
c: 22 20 3
e","a: -1 -2 0 0.0
!
",,"a: 1 0
!",,,,,,,,,,,,,
3270,2016-06-15,gadf,11:03,11:13,11:14,11:25,11:26,11:43,11:43,11:46,"a: 0 bzy 1
b: 1 abzy 1
X",,,"a: 2 2 0 0
c: 2 0 0 1
d: 2
a: 3 3 0 2
b  3 0 0 1
e",,"a: -1 -2 0 0
b: c
d","a: 1 0
c: 1 1",,,,,,,,,,,,,
3782,2016-06-14,hceb,15:33,15:49,15:49,16:01,16:01,16:16,16:16,16:27,,"a: 0 zy 1
b: 1 zy 1
a: 0 y 1
b: 1 y 1
c","a: 2 2 0 0
b: 2
c",,"a: -1 -2 0
b: a
d",,,"a: 1 0
b: 1 1
a: 0 0
2: 1000
4: 0
d",,,,,,,,,,,,
3881,2016-06-14,gdaf,18:19,18:26,18:26,18:42,18:42,18:50,18:50,18:54,"a: 0 'zy' 1
b: 1 '0' 1
c:",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
d: 3 3 0 2
c: 3 0 3 1",,"a: -1 -2 0 ?
b: c","a: 1 0
!",,,,,,,,,,,,,
4747,2016-06-14,dfga,10:32,10:52,11:08,11:22,10:53,11:02,11:03,11:08,"a: 0 zy 1
b: 1 abzy 1
c",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2 
c: 2 0 2 2
d: 2
a: 3 3 2 3
c: 3 0 16 0
e",,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: a
c: -2 0 0 1.0 -1
b: b
c: -2 -1 0 0.0 0
b: a
d
","a: 1 0
a: 0 0
a: 0 0
b: 1
!",,,,,,,,,,,,,
6033,2016-06-11,cfha,15:37,15:45,15:45,15:49,15:49,15:59,15:50,15:51,!,"a: 0 azy 1
b: 1 azy 1
a: 0 bzy 1
b: 1 bzy 1
c","a: 2 2 0 0 
a: 3 3 0 0 
c",,,"-1 -2 0 0.0
b: c
d",,"a: 1 0
a: 0 0
b: 0 1
b: 1 1
d",,,,,,,,,,,,
6224,2016-06-13,hbec,10:36,10:44,10:45,10:50,10:51,10:58,10:59,11:10,,"a: 0 azy 1
b: 1 azy 1
a: 0 bzy 1
b: 1 bzy 1
c","a: 2 2 0 0
a: 3 3 2 0
c",,"a: -1 -2 0 v4
!",,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 1 0
b: 1 1",,,,,,,,,,,,
6490,2016-06-12,hecb,16:27,16:56,16:57,17:11,17:12,17:23,17:24,17:28,,"a: 0 zy 1
b: 1 zy 1
!","a: 2 0 2 1
a: 2 0 19 1
c",,"a: -1 -2 0 0.00000 
a: -1 -1 -1 0.000000
a: -1 -1 0 0.00000
c: -1 -2  0 0.000 0
b:",,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0",,,,,,,,,,,,
9351,2016-06-15,dhae,14:03,14:15,14:16,14:35,14:36,14:45,14:45,14:55,c,,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
a: 3 3 0 2
c: 3 0 3 1
e","a: -1 -2 0 0.00
a: -1 -1 -1 0.000
c
c
d",,,"a: 1 0
b: 1 1
a: 0 0
2: 64
4: 32
d",,,,,,,,,,,,
